order_id,customer_id,order_date,product,quantity,price
800,P237,2025-03-07 16:33:00.759884,phone,1,400
801,P374,2025-04-11 16:33:00.759884,phone,1,400
802,P100,2025-03-16 16:33:00.759884,TV,3,880
803,P234,2025-06-27 16:33:00.759884,laptop,4,800
804,P396,2025-07-17 16:33:00.759884,watch,3,300
805,P363,2025-05-21 16:33:00.759884,TV,2,880
806,P191,2025-04-10 16:33:00.759884,mouse,3,50
807,P271,2025-06-06 16:33:00.759884,watch,1,300
808,P117,2025-03-29 16:33:00.759884,mouse,2,50
809,P159,2025-06-01 16:33:00.759884,laptop,2,800
810,P054,2025-07-18 16:33:00.759884,laptop,2,800
811,P313,2025-04-24 16:33:00.759884,phone,1,400
812,P095,2025-06-08 16:33:00.759884,ipad,4,550
813,P007,2025-07-15 16:33:00.759884,mouse,3,50
814,P282,2025-04-15 16:33:00.759884,phone,3,400
815,P363,2025-04-11 16:33:00.759884,laptop,2,800
816,P176,2025-07-09 16:33:00.759884,mouse,2,50
817,P334,2025-06-26 16:33:00.759884,ipad,2,550
818,P362,2025-03-08 16:33:00.759884,watch,2,300
819,P130,2025-04-07 16:33:00.759884,phone,3,400
820,P093,2025-05-19 16:33:00.759884,TV,2,880
821,P129,2025-04-09 16:33:00.759884,phone,2,400
822,P234,2025-03-25 16:33:00.759884,phone,3,400
823,P163,2025-07-20 16:33:00.759884,TV,2,880
824,P136,2025-05-03 16:33:00.759884,phone,1,400
825,P015,2025-05-16 16:33:00.759884,laptop,4,800
826,P245,2025-05-05 16:33:00.759884,ipad,4,550
827,P118,2025-05-03 16:33:00.759884,TV,3,880
828,P043,2025-06-16 16:33:00.759884,watch,3,300
829,P181,2025-03-07 16:33:00.759884,mouse,3,50
830,P105,2025-05-17 16:33:00.759884,mouse,3,50
831,P153,2025-05-03 16:33:00.759884,watch,2,300
832,P027,2025-04-12 16:33:00.759884,phone,4,400
833,P330,2025-03-27 16:33:00.759884,mouse,1,50
834,P106,2025-03-21 16:33:00.759884,mouse,3,50
835,P248,2025-07-03 16:33:00.759884,phone,2,400
836,P358,2025-05-31 16:33:00.759884,phone,2,400
837,P040,2025-06-10 16:33:00.759884,TV,4,880
838,P247,2025-02-22 16:33:00.759884,ipad,1,550
839,P333,2025-05-22 16:33:00.759884,TV,2,880
840,P089,2025-07-19 16:33:00.759884,watch,1,300
841,P098,2025-06-24 16:33:00.759884,watch,3,300
842,P352,2025-05-12 16:33:00.759884,phone,2,400
843,P152,2025-04-05 16:33:00.759884,mouse,4,50
844,P288,2025-05-01 16:33:00.759884,mouse,4,50
845,P237,2025-04-21 16:33:00.759884,ipad,4,550
846,P320,2025-03-05 16:33:00.759884,laptop,4,800
847,P370,2025-07-08 16:33:00.759884,ipad,4,550
848,P161,2025-03-02 16:33:00.759884,TV,3,880
849,P090,2025-05-22 16:33:00.759884,ipad,2,550
850,P346,2025-06-29 16:33:00.759884,watch,2,300
851,P136,2025-03-27 16:33:00.759884,laptop,2,800
852,P097,2025-06-20 16:33:00.759884,ipad,1,550
853,P026,2025-06-19 16:33:00.759884,phone,3,400
854,P173,2025-02-24 16:33:00.759884,mouse,1,50
855,P269,2025-03-30 16:33:00.759884,watch,2,300
856,P002,2025-04-25 16:33:00.759884,ipad,3,550
857,P218,2025-03-30 16:33:00.759884,phone,4,400
858,P151,2025-06-13 16:33:00.759884,laptop,3,800
859,P392,2025-05-14 16:33:00.759884,ipad,2,550
860,P019,2025-05-25 16:33:00.759884,phone,4,400
861,P086,2025-04-03 16:33:00.759884,watch,2,300
862,P398,2025-02-22 16:33:00.759884,phone,2,400
863,P049,2025-05-14 16:33:00.759884,TV,3,880
864,P101,2025-04-23 16:33:00.759884,watch,1,300
865,P141,2025-05-11 16:33:00.759884,laptop,4,800
866,P021,2025-02-24 16:33:00.759884,TV,1,880
867,P053,2025-07-14 16:33:00.759884,laptop,1,800
868,P345,2025-05-19 16:33:00.759884,mouse,1,50
869,P331,2025-05-18 16:33:00.759884,laptop,1,800
870,P265,2025-04-07 16:33:00.759884,mouse,3,50
871,P081,2025-04-17 16:33:00.759884,phone,3,400
872,P283,2025-03-17 16:33:00.759884,TV,1,880
873,P135,2025-05-30 16:33:00.759884,TV,2,880
874,P010,2025-06-28 16:33:00.759884,phone,1,400
875,P014,2025-06-30 16:33:00.759884,laptop,1,800
876,P387,2025-05-08 16:33:00.759884,phone,2,400
877,P138,2025-02-27 16:33:00.759884,ipad,2,550
878,P361,2025-04-18 16:33:00.759884,watch,4,300
879,P066,2025-04-15 16:33:00.759884,mouse,3,50
880,P047,2025-05-19 16:33:00.759884,mouse,2,50
881,P370,2025-03-20 16:33:00.759884,watch,4,300
882,P165,2025-03-30 16:33:00.759884,TV,4,880
883,P285,2025-03-28 16:33:00.759884,watch,4,300
884,P230,2025-03-14 16:33:00.759884,laptop,3,800
885,P056,2025-05-07 16:33:00.759884,watch,2,300
886,P247,2025-04-21 16:33:00.759884,phone,1,400
887,P178,2025-06-18 16:33:00.759884,watch,4,300
888,P385,2025-07-07 16:33:00.759884,phone,4,400
889,P323,2025-03-24 16:33:00.759884,phone,2,400
890,P148,2025-03-07 16:33:00.759884,watch,1,300
891,P307,2025-02-26 16:33:00.759884,phone,3,400
892,P291,2025-03-23 16:33:00.759884,laptop,4,800
